,model,lookback,epsilon,epsilon_decay,decay_limit,learning_rate,discount_rate,epochs,tr_cooperation_percentage,tr_defection_percentage,tr_final_loss,tr_mean_reward,tr_cumul_reward,tr_cumul_regret,tn_rank,tn_mean_score,tn_mean_time,agents
59,,4,0.1,0.0,0.05,0.01,0.99,2500,0.65614,0.34386,,2.3434235,9373694.0,2626306.0,1,810.3374193548387,2.9473950000000007,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
60,,4,0.1,0.0,0.05,0.05,0.95,2500,0.237279,0.762721,,2.1879415,8751766.0,3248234.0,25,520.7016129032259,13.249794000000001,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
61,,4,0.1,0.0,0.05,0.05,0.99,2500,0.35620025,0.64379975,,2.173572,8694288.0,3305712.0,16,756.888064516129,2.879978,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
62,,4,0.1,0.0,0.05,0.1,0.95,2500,0.2279735,0.7720265,,2.1621665,8648666.0,3351334.0,9,778.296129032258,2.921140999999999,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
63,,4,0.1,0.0,0.05,0.1,0.99,2500,0.345612,0.654388,,2.1526075,8610430.0,3389570.0,25,546.6832258064516,13.626851,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
64,,4,0.2,0.0,0.05,0.001,0.95,2500,0.44412975,0.55587025,,1.92846875,7713875.0,4286125.0,22,745.3254838709678,3.1720859999999997,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
65,,4,0.2,0.0,0.05,0.001,0.99,2500,0.40199925,0.59800075,,2.063647,8254588.0,3745412.0,25,562.8774193548387,11.916908,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
66,,4,0.2,0.0,0.05,0.01,0.95,2500,0.202274,0.797726,,2.06894875,8275795.0,3724205.0,26,467.36483870967743,14.672379999999997,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
67,,4,0.2,0.0,0.05,0.01,0.99,2500,0.351131,0.648869,,2.0831905,8332762.0,3667238.0,17,753.9870967741936,2.8946489999999985,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
68,,4,0.2,0.0,0.05,0.05,0.95,2500,0.187981,0.812019,,2.1133865,8453546.0,3546454.0,30,437.09096774193546,14.456033,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
69,,4,0.2,0.0,0.05,0.05,0.99,2500,0.27582625,0.72417375,,2.091539,8366156.0,3633844.0,26,485.96290322580643,13.156055000000002,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
70,,4,0.2,0.0,0.05,0.1,0.95,2500,0.21576725,0.78423275,,2.09753875,8390155.0,3609845.0,27,459.3016129032258,15.236967,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
71,,4,0.2,0.0,0.05,0.1,0.99,2500,0.30134075,0.69865925,,2.07558875,8302355.0,3697645.0,26,467.768064516129,12.529857000000003,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
72,,8,0.05,0.0,0.05,0.001,0.95,2500,0.91953425,0.08046575,,2.7559335,11023734.0,976266.0,24,715.7545161290323,2.8097050000000006,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
73,,8,0.05,0.0,0.05,0.001,0.99,2500,0.94977375,0.05022625,,2.7985725,11194290.0,805710.0,6,774.3235483870968,3.1368380000000013,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
74,,8,0.05,0.0,0.05,0.01,0.95,2500,0.8629595,0.1370405,,2.58348925,10333957.0,1666043.0,25,567.4477419354839,5.968749000000002,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
75,,8,0.05,0.0,0.05,0.01,0.99,2500,0.909083,0.090917,,2.721157,10884628.0,1115372.0,22,748.8406451612904,3.0020660000000006,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
76,,8,0.05,0.0,0.05,0.05,0.95,2500,0.70358425,0.29641575,,2.29841175,9193647.0,2806353.0,24,734.7590322580645,2.9044049999999992,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
77,,8,0.05,0.0,0.05,0.05,0.99,2500,0.82579325,0.17420675,,2.46020575,9840823.0,2159177.0,24,713.428064516129,2.9102719999999995,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
78,,8,0.05,0.0,0.05,0.1,0.95,2500,0.60373475,0.39626525,,2.3157445,9262978.0,2737022.0,11,771.0096774193548,2.9864599999999992,"TitForTat,TidemanAndChieruzzi,Borufsen,SecondByGraaskampKatzen,Nydegger,Grofman,Shubik,Pavlov"
